stem,split,folder,image_path,mask_path,img_shape,mask_shape,mask_values,ok
0900,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0900.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0900.png,"(174, 174, 3)","(174, 174)","[0, 1, 2, 3]",True
0901,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0901.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0901.png,"(131, 131, 3)","(131, 131)","[0, 2, 3]",True
0902,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0902.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0902.png,"(131, 131, 3)","(131, 131)","[0, 1, 2, 3]",True
0903,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0903.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0903.png,"(83, 83, 3)","(83, 83)","[0, 2, 3]",True
0904,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0904.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0904.png,"(83, 83, 3)","(83, 83)","[0, 3]",True
0905,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0905.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0905.png,"(83, 83, 3)","(83, 83)","[0, 2, 3]",True
0906,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0906.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0906.png,"(114, 114, 3)","(114, 114)","[0, 1, 2]",True
0907,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0907.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0907.png,"(114, 114, 3)","(114, 114)","[0, 3]",True
0908,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0908.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0908.png,"(114, 114, 3)","(114, 114)","[0, 1, 2, 3]",True
0909,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0909.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0909.png,"(114, 114, 3)","(114, 114)","[0, 1, 2, 3]",True
0910,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0910.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0910.png,"(139, 139, 3)","(139, 139)","[0, 1, 2]",True
0911,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0911.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0911.png,"(92, 92, 3)","(92, 92)","[0, 1]",True
0912,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0912.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0912.png,"(92, 92, 3)","(92, 92)","[0, 1, 2, 3]",True
0913,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0913.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0913.png,"(92, 92, 3)","(92, 92)","[0, 1, 2, 3]",True
0915,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0915.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0915.png,"(92, 92, 3)","(92, 92)","[0, 1, 2]",True
0916,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0916.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0916.png,"(221, 221, 3)","(221, 221)","[0, 1, 2, 3]",True
0917,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0917.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0917.png,"(162, 162, 3)","(162, 162)","[0, 2, 3]",True
0918,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0918.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0918.png,"(237, 237, 3)","(237, 237)","[0, 1, 2, 3]",True
0919,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0919.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0919.png,"(151, 151, 3)","(151, 151)","[0, 1, 2, 3]",True
0920,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0920.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0920.png,"(151, 151, 3)","(151, 151)","[0, 2, 3]",True
0921,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0921.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0921.png,"(108, 108, 3)","(108, 108)","[0, 1, 3]",True
0922,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0922.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0922.png,"(233, 233, 3)","(233, 233)","[0, 1, 2, 3]",True
0923,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0923.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0923.png,"(135, 135, 3)","(135, 135)","[0, 3]",True
0924,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0924.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0924.png,"(135, 135, 3)","(135, 135)","[0, 1, 2]",True
0926,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0926.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0926.png,"(79, 79, 3)","(79, 79)","[0, 1, 2, 3]",True
0928,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0928.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0928.png,"(91, 91, 3)","(91, 91)","[0, 1, 2, 3]",True
0929,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0929.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0929.png,"(152, 152, 3)","(152, 152)","[0, 1, 2, 3]",True
0930,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0930.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0930.png,"(111, 111, 3)","(111, 111)","[0, 2, 3]",True
0931,val,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0931.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0931.png,"(111, 111, 3)","(111, 111)","[0, 1, 2, 3]",True
0932,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0932.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0932.png,"(111, 111, 3)","(111, 111)","[0, 1]",True
0933,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0933.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0933.png,"(143, 143, 3)","(143, 143)","[0, 1, 2, 3]",True
0934,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0934.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0934.png,"(167, 167, 3)","(167, 167)","[0, 1, 2, 3]",True
0936,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0936.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0936.png,"(134, 134, 3)","(134, 134)","[0, 2]",True
0937,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0937.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0937.png,"(134, 134, 3)","(134, 134)","[0, 1, 2]",True
0938,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0938.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0938.png,"(154, 154, 3)","(154, 154)","[0, 1, 2]",True
0939,val,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0939.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0939.png,"(221, 221, 3)","(221, 221)","[0, 1, 2]",True
0940,val,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0940.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0940.png,"(149, 149, 3)","(149, 149)","[0, 3]",True
0941,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0941.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0941.png,"(220, 220, 3)","(220, 220)","[0, 1, 2, 3]",True
0942,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0942.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0942.png,"(220, 220, 3)","(220, 220)","[0, 1, 2, 3]",True
0943,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0943.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0943.png,"(220, 220, 3)","(220, 220)","[0, 3]",True
0944,val,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0944.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0944.png,"(86, 86, 3)","(86, 86)","[0, 1, 2]",True
0945,val,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0945.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0945.png,"(178, 178, 3)","(178, 178)","[0, 1]",True
0946,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0946.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0946.png,"(178, 178, 3)","(178, 178)","[0, 1, 2, 3]",True
0947,val,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0947.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0947.png,"(99, 99, 3)","(99, 99)","[0, 1, 3]",True
0948,val,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0948.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0948.png,"(99, 99, 3)","(99, 99)","[0, 2, 3]",True
0949,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0949.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0949.png,"(99, 99, 3)","(99, 99)","[0, 2, 3]",True
0950,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0950.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0950.png,"(99, 99, 3)","(99, 99)","[0, 1, 2, 3]",True
0951,val,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0951.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0951.png,"(99, 99, 3)","(99, 99)","[0, 1, 2]",True
0952,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0952.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0952.png,"(198, 198, 3)","(198, 198)","[0, 1, 2, 3]",True
0953,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0953.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0953.png,"(94, 94, 3)","(94, 94)","[0, 1, 2, 3]",True
0954,val,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0954.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0954.png,"(94, 94, 3)","(94, 94)","[0, 1, 3]",True
0955,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0955.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0955.png,"(94, 94, 3)","(94, 94)","[0, 2]",True
0956,val,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0956.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0956.png,"(94, 94, 3)","(94, 94)","[0, 2, 3]",True
0957,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0957.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0957.png,"(125, 125, 3)","(125, 125)","[0, 1, 2, 3]",True
0958,train,TrainVal,data\datasets\dfutissue\Labeled\Original\Images\TrainVal\0958.png,data\datasets\dfutissue\Labeled\Original\Annotations\TrainVal\0958.png,"(207, 207, 3)","(207, 207)","[0, 1, 2, 3]",True
